title,author,length
1. Sherlock Holmes - El signo de los cuatro,De: Arthur Conan Doyle,Duración: 4 horas y 41 mins
2. Pequeñas Revoluciones para Crecer,De: Elsa Punset,Duración: 3 horas y 54 mins
3. Obsesión,"De: J L Butler, Jorge Rizzo - traduccion",Duración: 13 horas y 35 mins
4. La pequeña guía de mindfulness,De: Pedro Campos,Duración: 2 horas y 36 mins
5. Emma,De: Jane Austen,Duración: 16 horas y 23 mins
6. Utopia,De: Mario Escobar,Duración: 6 horas y 59 mins
7. Duerme profundamente,De: Oliver Wunderlich,Duración: 13 horas y 43 mins
8. El Desafío: ETA,De: Cuerdos de Atar,Duración: 9 horas y 37 mins
9. Jodidísimas,De: María Dueñas,Duración: 5 horas y 11 mins
10. El Rabino,"De: Noah Gordon, Adolfo Martín - translator",Duración: 16 horas y 15 mins
11. Alicia en el País de las Maravillas,De: Lewis Carroll,Duración: 3 horas y 13 mins
12. Great Courses: Mitos y leyenda de las Edad Media (Narración en Castellano),De: Dorsey Armstrong,Duración: 4 horas y 36 mins
13. Piensa fuera de la caja (Narración en Castellano),De: Alejandro Llantada,Duración: 8 horas
14. Deseada,De: H. Hex,Duración: 7 horas y 21 mins
15. Seducción Secreta,De: Iván Rodríguez Duch,Duración: 13 horas y 11 mins
16. Drácula,De: Bram Stoker,Duración: 18 horas y 33 mins
17. Sentido y sensibilidad,"De: Jane Austen, Luis Magrinyà - traductor",Duración: 15 horas y 15 mins
18. Breve historia de la Guerra Civil Española,De: Íñigo Bolinaga,Duración: 7 horas y 42 mins
19. El amor no es suficiente,De: Mark Manson,Duración: 8 horas y 35 mins
20. La Era Axial,De: Francesc Miralles,Duración: 3 horas y 16 mins
21. Mátame Eternamente,De: Francesc Miralles,Duración: 5 horas y 59 mins
22. La fuga,De: Carmen Domingo,Duración: 6 horas y 8 mins
23. Great Courses: Como Criar Hijos Curiosos (Narración en Castellano),De: Nicholas Provenzano,Duración: 3 horas y 59 mins
24. El Corazón de las Tinieblas,De: Joseph Conrad,Duración: 4 horas y 53 mins
25. Great Courses: El Poder de la Autocompasion (Narración en Castellano),De: Laurie J. Cameron,Duración: 3 horas y 47 mins
26. Breve historia de España I,De: Luis Enrique Íñigo Fernández,Duración: 5 horas y 13 mins
27. La desaparición de Agatha Christie,De: Giuseppe Paternò di Raddusa,Duración: 4 horas y 18 mins
28. Mala Broma,De: Velvet Events S.L.,Duración: 1 h y 17 mins
29. American Gods (Spanish Edition),"De: Neil Gaiman, Mónica Faerna - traductor",Duración: 22 horas y 6 mins
30. Doula,De: Claudio Cerdán,Duración: 6 horas y 20 mins
31. Clifford the Big Red Dog,De: Norman Bridwell,Duración: 3 mins
32. El extraño caso de Doctor Jekyll y Mr. Hyde,De: Robert Louis Stevenson,Duración: 2 horas y 50 mins
33. Great Courses: Conspiraciones y teorías conspirativas (Narración en Castellano),De: Michael Shermer,Duración: 7 horas y 15 mins
34. Frankenstein,De: Mary Shelley,Duración: 8 horas y 12 mins
35. Todo lo que debe saber sobre la Primera Guerra Mundial,De: Jesús Hernández,Duración: 11 horas y 32 mins
36. Hierba,"De: The Story Lab, Conchi Cejudo, Álvaro de Cózar",Duración: 3 horas y 48 mins
37. Iris,De: Javier Ruescas,Duración: 4 horas y 17 mins
38. El Gran Gatsby (Narración en Castellano),De: F. Scott Fitzgerald,Duración: 5 horas y 52 mins
39. Breve historia Socialismo y del Comunismo,De: Javier Paniagua,Duración: 8 horas y 5 mins
40. Clifford the Small Red Puppy,De: Norman Bridwell,Duración: 5 mins
41. Vis a Vis: la cara B,De: GloboMedia,Duración: 4 horas
42. La hija inmortal,De: Luppa Solutions,Duración: 3 horas y 21 mins
43. Las doce puertas: Parte I,De: Vicente Raga,Duración: 7 horas y 48 mins
44. El Desafío: 11-M,"De: María Paredes, Pilar Cebrián, Andrés Torres, José Ortiz",Duración: 10 horas y 36 mins
45. Unleashing Your Dog,"De: Marc Bekoff, Jessica Pierce",Duración: 4 horas y 17 mins
46. Harry Potter y el cáliz de fuego,De: J.K. Rowling,Duración: 21 horas y 39 mins
47. Guerras de Negocios - Marvel vs DC,De: Reed Tucker,Duración: 2 horas y 44 mins
48. Playing to Win,"De: Roger L. Martin, A.G. Lafley",Duración: 7 horas y 9 mins
49. La Que Se Avecina,De: Contenidos Audiovisuales Mediterraneo y Contubernio,Duración: 4 horas y 13 mins
50. Blockchain,"De: Harvard Business Review, Catherine Tucker, Don Tapscott, Marco lansiti",Duración: 3 horas y 23 mins
51. The Sky Is Everywhere,De: Jandy Nelson,Duración: 7 horas y 10 mins
52. La ContraHistoria del comunismo,De: Fernando Díaz Villanueva,Duración: 7 horas
53. El Móvil de Mendes,De: Animal Media S.L.U,Duración: 3 horas y 42 mins
54. Breve historia de Hitler,De: Jesús Hernández,Duración: 7 horas y 57 mins
55. La dictadura infinita,De: Luis del Pino,Duración: 9 horas y 22 mins
56. La isla perdida,De: Capitán Nemo,Duración: 4 horas y 22 mins
57. Belisarius Cawl: The Great Work,De: Guy Haley,Duración: 11 horas y 6 mins
58. Breve Historia de la Revolución Rusa,De: Íñigo Bolinaga,Duración: 7 horas y 57 mins
59. AdolesZentes,"De: Teo Rodríguez, Iñaki San Román, Juan Rodríguez",Duración: 4 horas y 18 mins
60. Great Courses: ¿Sin calculadora? Ningún problema,De: Arthur Benjamin,Duración: 5 horas y 52 mins
"61. The General Theory of Employment, Interest, and Money",De: John Maynard Keynes,Duración: 14 horas y 37 mins
62. Growth Hacker Marketing,De: Ryan Holiday,Duración: 2 horas y 17 mins
63. Accelerate: Building and Scaling High Performing Technology Organizations,"De: Nicole Forsgren PhD, Jez Humble, Gene Kim",Duración: 4 horas y 58 mins
64. La Sombra del Viento,De: Carlos Ruiz Zafón,Duración: 17 horas y 44 mins
65. Everyday English 1,De: Alberto Alonso,Duración: 9 horas y 14 mins
66. Florentino Pérez,De: Fonsi Loaiza,Duración: 6 horas y 30 mins
67. Disolver el ego,De: David R. Hawkins,Duración: 4 horas y 43 mins
"68. Resumen del Libro ""Cómo Construir una Story-Brand"" de Donald Miller",De: Leader Summaries,Duración: 40 mins
69. El Poder de la Disciplina,De: Raimon Samsó,Duración: 2 horas y 8 mins
70. Curso de inglés definitivo - Intermedio - 02,"De: Richard Brown, David Waddell, Carmen Vallejo, Conor McAlinden",Duración: 25 mins
71. Sherlock Holmes - El perro de los Baskerville,De: Arthur Conan Doyle,Duración: 6 horas y 40 mins
72. Ni-Ni-Nicolas (Narración en Castellano),De: Jordi Sierra I Fabra,Duración: 2 horas y 30 mins
73. Chicken Soup for the Soul 20th Anniversary Edition,"De: Jack Canfield, Amy Newmark, Mark Victor Hansen, Heidi Krupp - foreword",Duración: 8 horas y 30 mins
74. Translation booklet pocket,De: Richard Vaughan,Duración: 9 horas y 25 mins
75. Magallanes (Narración en Castellano),De: Stefan Zweig,Duración: 10 horas y 18 mins
76. The Righteous Mind,De: Jonathan Haidt,Duración: 11 horas y 1 min
77. Rich Dad Poor Dad: 20th Anniversary Edition,De: Robert T. Kiyosaki,Duración: 8 horas y 22 mins
78. Be Obsessed or Be Average,De: Grant Cardone,Duración: 11 horas y 4 mins
"79. Which Comes First, Cardio or Weights?",De: Alex Hutchinson,Duración: 8 horas y 13 mins
80. Galaxy in Flames,De: Ben Counter,Duración: 8 horas y 50 mins
81. El Principito,De: Antoine de Saint-Exupéry,Duración: 1 h y 54 mins
82. Exile,De: R. A. Salvatore,Duración: 10 horas y 42 mins
83. The Wise Man's Fear,De: Patrick Rothfuss,Duración: 42 horas y 55 mins
84. The Great Mental Models,De: Shane Parrish,Duración: 3 horas y 23 mins
85. Hipnosis de sueño profundo para conseguir la sanación emocional y la paz interior,De: Joaquin Rodriguez,Duración: 45 mins
86. Hamlet,De: William Shakespeare,Duración: 40 mins
87. Tercios,De: José Javier Esparza,Duración: 12 horas y 30 mins
88. Le dernier Jour d'un Condamné,De: Victor Hugo,Duración: 2 horas y 53 mins
89. The Name of the Rose,De: Umberto Eco,Duración: 21 horas y 5 mins
90. Seven Years in Tibet,"De: Heinrich Harrer, Richard Graves",Duración: 11 horas y 38 mins
91. The Slow Burn,De: Kristen Ashley,Duración: 12 horas y 16 mins
92. Nahum,De: J. J. Benítez,Duración: 17 horas y 29 mins
93. Como Vencer tus Creencias Limitantes y Miedos para Hacer Metas Altamente Efectivas: Desarollar Hábitos de la Gente Exitosa,De: Andres McArthur,Duración: 3 horas y 39 mins
94. Cómo hacer que te pasen cosas buenas,De: Marián Rojas Estapé,Duración: 7 horas y 12 mins
95. Por si las voces vuelven,De: Ángel Martín,Duración: 4 horas y 18 mins
96. I Will Teach You to Be Rich,De: Ramit Sethi,Duración: 12 horas y 8 mins
97. Ninja Selling,De: Larry Kendall,Duración: 8 horas y 6 mins
98. Blockchain Basics,De: Daniel Drescher,Duración: 7 horas y 6 mins
99. 30 Días,De: Marc Reklau,Duración: 4 horas y 42 mins
100. La ansiedad no es un mosquito que pasa y me pica,De: Maria Teresa Llobet Turallas,Duración: 38 mins
